# SYNTHETIC DATA generated by scripts/make_sample_data.py (seed 20260912). Not real market prices.
Date,Open,High,Low,Close,Volume
2025-07-21,123.12,123.4,122.13,122.86,99318103
2025-07-22,122.76,123.18,119.89,121.25,86901744
2025-07-23,120.86,121.78,120.76,120.8,38452842
2025-07-24,120.69,122.74,120.4,121.34,67399401
2025-07-25,121.08,122.88,119.54,122.12,55952166
2025-07-28,121.75,122.94,120.68,120.97,70703832
2025-07-29,120.81,122.29,120.26,122.25,60237764
2025-07-30,122.16,122.69,120.87,121.72,58226625
2025-07-31,121.79,122.1,119.72,120.17,63602652
2025-08-01,120.31,121.24,115.16,115.65,53751173
2025-08-04,115.8,115.91,115.39,115.78,38475764
2025-08-05,116.07,118.18,116.06,118.02,60335329
2025-08-06,118.0,121.0,117.15,120.06,73500073
2025-08-07,120.24,120.93,119.55,120.92,61233858
2025-08-08,120.94,121.37,120.37,120.43,32124306
2025-08-11,120.91,121.03,119.64,119.96,34797160
2025-08-12,120.03,122.27,119.51,121.9,57986686
2025-08-13,121.24,124.05,119.92,123.57,93696545
2025-08-14,123.42,126.3,121.87,125.88,107499978
2025-08-15,125.83,128.05,125.18,127.68,36022815
2025-08-18,127.31,128.11,126.19,126.74,81537868
2025-08-19,126.82,127.74,124.77,127.14,90405608
2025-08-20,126.97,130.78,126.47,130.74,45529835
2025-08-21,130.95,132.62,130.59,131.53,86422268
2025-08-22,130.95,132.35,129.49,132.33,61434409
2025-08-25,132.08,136.39,132.07,135.36,64378089
2025-08-26,135.9,140.29,135.85,138.37,57406604
2025-08-27,138.29,139.33,137.1,138.09,39258604
2025-08-28,137.81,137.89,135.75,137.01,56742579
2025-08-29,136.74,140.32,135.97,138.61,59076165
2025-09-01,138.56,142.18,138.1,142.08,55864630
2025-09-02,142.79,143.49,141.86,142.92,61832444
2025-09-03,142.6,145.25,141.14,145.22,60691114
2025-09-04,145.03,145.82,144.01,145.01,67937764
2025-09-05,144.75,145.8,143.0,143.44,51326520
2025-09-08,143.37,145.29,142.14,144.2,53774638
2025-09-09,144.19,146.71,143.25,145.9,50571024
2025-09-10,146.01,146.72,144.1,144.38,45636923
2025-09-11,143.8,144.21,141.19,141.7,40761958
2025-09-12,141.64,142.23,140.52,140.87,48072534
2025-09-15,140.59,141.1,140.06,140.87,63092333
2025-09-16,140.72,141.61,140.1,141.29,62384864
2025-09-17,141.05,142.31,140.42,141.95,65299311
2025-09-18,142.09,144.4,141.23,144.12,95730807
2025-09-19,144.31,145.53,142.63,144.7,59354957
2025-09-22,144.3,145.59,142.27,143.96,65790178
2025-09-23,143.49,144.84,142.07,143.71,48082751
2025-09-24,143.93,145.16,138.67,140.11,59334626
2025-09-25,139.04,139.31,137.65,138.89,56892985
2025-09-26,138.49,139.24,138.35,138.99,59305291
2025-09-29,139.97,141.08,139.35,140.52,52822205
2025-09-30,139.97,140.56,137.22,137.6,67940261
2025-10-01,137.16,138.89,135.36,135.83,79429955
2025-10-02,136.16,137.43,135.51,136.71,35232810
2025-10-03,137.23,137.81,134.39,135.05,56821462
2025-10-06,134.64,135.31,132.68,132.85,48961916
2025-10-07,132.3,136.54,131.61,136.41,98257869
2025-10-08,136.09,137.01,134.86,135.12,73868203
2025-10-09,134.54,134.92,132.03,132.06,54426978
2025-10-10,132.56,133.7,130.95,132.34,34061475
2025-10-13,132.13,133.67,132.1,132.94,79370764
2025-10-14,132.95,135.33,132.63,134.18,57587340
2025-10-15,133.88,136.25,133.19,135.47,101412481
2025-10-16,135.67,138.78,135.34,136.79,48489766
2025-10-17,136.45,136.54,133.44,133.85,65998409
2025-10-20,133.64,137.64,133.35,137.25,48998039
2025-10-21,136.75,139.56,135.36,139.34,73235295
2025-10-22,139.44,141.24,139.31,140.98,47737403
2025-10-23,140.51,142.31,139.77,139.95,57437721
2025-10-24,139.35,142.0,138.39,140.92,34488401
2025-10-27,141.4,142.3,140.04,140.14,57849891
2025-10-28,140.54,141.47,140.21,140.23,69607984
2025-10-29,139.88,141.88,139.41,140.75,82312430
2025-10-30,140.92,147.64,140.9,145.72,66065924
2025-10-31,145.49,146.87,142.72,143.35,34159962
2025-11-03,143.79,145.14,141.37,142.07,44224710
2025-11-04,142.64,143.91,139.76,140.4,65678967
2025-11-05,140.61,143.37,139.65,142.2,80918161
2025-11-06,141.65,142.5,140.49,142.47,61129578
2025-11-07,142.02,143.32,140.03,141.06,84311056
2025-11-10,140.91,144.21,140.79,142.91,63775488
2025-11-11,142.27,142.96,140.88,140.93,50752081
2025-11-12,140.3,141.66,139.95,141.43,63952047
2025-11-13,140.87,142.04,136.55,137.24,47094748
2025-11-14,137.36,137.62,134.53,135.72,56916990
2025-11-17,135.24,139.56,133.88,138.07,65991523
2025-11-18,138.44,141.34,138.02,140.41,79080164
2025-11-19,140.63,142.4,138.87,142.07,54091070
2025-11-20,141.97,144.01,141.3,143.29,89835998
2025-11-21,144.02,144.36,143.49,143.75,32221698
2025-11-24,144.2,144.97,141.09,141.18,35999312
2025-11-25,140.79,141.87,136.72,138.71,45872428
2025-11-26,139.1,139.8,137.98,139.1,59278450
2025-11-27,139.24,139.93,139.14,139.18,84654061
2025-11-28,138.63,143.33,136.93,141.5,52864698
2025-12-01,141.6,142.2,139.83,141.09,77593636
2025-12-02,141.45,143.58,140.69,142.96,53829712
2025-12-03,142.79,143.27,138.96,139.69,60382877
2025-12-04,140.29,142.11,139.81,141.08,37355890
2025-12-05,140.95,146.5,140.21,145.89,42999318
2025-12-08,146.36,146.39,144.99,145.09,48756708
2025-12-09,144.83,148.21,144.14,147.17,56906645
2025-12-10,146.76,148.02,146.35,147.65,68002548
2025-12-11,148.12,151.82,148.06,149.75,70756721
2025-12-12,149.79,153.45,149.13,153.29,46421004
2025-12-15,153.15,157.18,152.55,156.38,129502491
2025-12-16,156.43,157.8,155.61,156.7,67616264
2025-12-17,156.67,157.38,151.94,153.61,68531794
2025-12-18,153.53,154.42,152.36,154.18,45974676
2025-12-19,154.83,155.48,152.44,153.17,38101696
2025-12-22,153.61,154.53,149.6,150.3,95549475
2025-12-23,151.19,151.35,150.57,151.28,39285996
2025-12-24,151.1,152.11,148.77,152.05,66904694
2025-12-25,152.09,154.32,152.09,153.33,70495287
2025-12-26,153.45,153.74,150.92,151.01,25916178
2025-12-29,150.51,152.57,148.69,151.07,69286811
2025-12-30,151.35,151.94,149.3,149.41,37948874
2025-12-31,149.31,152.51,148.13,152.49,45623633
2026-01-01,153.18,153.24,150.96,151.17,47333818
2026-01-02,150.85,152.57,149.24,151.43,63479529
2026-01-05,151.25,151.94,148.0,148.83,78223419
2026-01-06,148.91,149.04,148.06,148.49,49307544
2026-01-07,148.77,149.32,146.06,146.96,31489627
2026-01-08,147.15,148.01,141.58,142.79,36284654
2026-01-09,142.4,146.72,142.0,146.44,52532344
2026-01-12,146.65,146.83,145.01,146.13,125013407
2026-01-13,146.23,147.66,144.64,146.54,95395017
2026-01-14,145.82,145.96,143.3,144.61,52961943
2026-01-15,143.84,149.68,143.51,148.63,55808110
2026-01-16,148.7,150.53,148.43,150.11,46098100
2026-01-19,149.13,153.2,148.75,153.12,43112141
2026-01-20,153.14,153.66,150.24,152.41,72818369
2026-01-21,152.35,156.93,152.11,156.5,32565379
2026-01-22,156.33,160.91,156.14,160.37,56034937
2026-01-23,160.65,161.02,160.2,160.29,52905827
2026-01-26,160.24,160.81,156.87,157.04,47839876
2026-01-27,156.73,161.71,155.72,160.74,68053266
2026-01-28,161.38,162.85,160.41,161.42,91803228
2026-01-29,161.54,166.78,159.98,165.54,49509229
2026-01-30,166.31,166.38,161.02,163.62,65139684
2026-02-02,163.55,169.01,162.84,167.79,71725764
2026-02-03,167.27,170.09,166.41,169.38,106787585
2026-02-04,168.89,171.34,167.49,169.49,65509337
2026-02-05,168.81,169.8,166.92,169.57,48998870
2026-02-06,170.36,174.0,168.34,173.0,56476381
2026-02-09,172.58,176.42,172.18,175.23,71500589
2026-02-10,175.45,178.29,174.63,177.36,46693934
2026-02-11,176.86,177.72,176.06,176.14,39279700
2026-02-12,175.71,175.77,171.89,173.36,28878213
2026-02-13,173.73,175.7,173.28,175.56,30862328
2026-02-16,175.82,180.61,175.33,178.28,52036163
2026-02-17,178.4,179.78,177.9,179.28,41531405
2026-02-18,180.43,186.18,178.46,185.62,49203377
2026-02-19,184.52,190.29,182.27,189.69,52490418
2026-02-20,190.01,190.87,189.84,190.45,48456069
2026-02-23,190.34,190.98,189.12,189.45,37910168
2026-02-24,189.38,192.64,188.5,192.3,42361165
2026-02-25,192.78,193.14,188.79,188.87,45744644
2026-02-26,188.46,191.44,187.31,190.68,113627607
2026-02-27,191.12,195.7,190.24,194.71,87556169
2026-03-02,193.67,196.26,193.18,194.87,71328326
2026-03-03,194.41,196.04,193.65,195.5,85647141
2026-03-04,195.61,196.55,194.0,194.31,55732683
2026-03-05,193.82,200.51,193.72,200.3,55483475
2026-03-06,200.72,204.48,199.79,203.98,38220930
2026-03-09,204.0,205.26,202.88,204.35,58065665
2026-03-10,203.32,208.25,202.38,208.08,32330266
2026-03-11,208.07,213.2,207.67,212.48,74178057
2026-03-12,211.53,214.7,210.91,214.65,41906711
2026-03-13,214.73,215.15,208.43,210.48,92083165
2026-03-16,210.09,212.33,208.37,212.22,69627213
2026-03-17,212.75,216.94,212.19,216.37,71465241
2026-03-18,215.22,220.0,214.97,219.02,52760067
2026-03-19,218.51,220.79,214.54,216.58,59727082
2026-03-20,216.32,218.2,216.09,217.71,36637985
2026-03-23,217.14,217.92,214.18,214.18,62874700
2026-03-24,214.54,217.22,213.49,217.04,51078511
2026-03-25,217.14,220.7,217.02,219.14,61241918
2026-03-26,220.64,220.8,217.43,217.77,50911759
2026-03-27,217.11,218.11,215.18,217.36,41532120
2026-03-30,216.83,220.08,213.39,219.66,68753624
2026-03-31,219.38,219.44,215.62,217.17,27110719
2026-04-01,215.42,221.14,213.74,220.33,64386342
2026-04-02,219.64,220.67,214.22,215.19,67093263
2026-04-03,215.66,218.13,213.03,214.36,84316983
2026-04-06,213.86,216.66,212.99,215.72,42023971
2026-04-07,216.17,222.3,215.09,220.66,35143148
2026-04-08,220.79,222.36,217.09,217.12,63014029
2026-04-09,217.43,220.51,216.78,217.2,49222820
2026-04-10,217.76,219.84,216.49,218.0,40551715
2026-04-13,217.19,221.75,216.7,218.74,63934581
2026-04-14,218.97,220.49,216.7,217.59,64198982
2026-04-15,216.6,217.06,216.02,216.83,38052767
2026-04-16,216.84,230.57,216.26,229.76,43434948
2026-04-17,229.16,230.13,226.62,226.99,49826505
2026-04-20,227.24,227.69,224.58,225.28,89136004
2026-04-21,225.85,227.8,225.62,225.76,81275746
2026-04-22,225.87,231.42,222.31,231.28,36125992
2026-04-23,231.43,235.62,231.33,232.83,72986192
2026-04-24,231.01,238.73,228.48,237.84,77483194
2026-04-27,238.36,243.95,237.36,243.62,50480732
2026-04-28,244.0,248.26,242.64,248.19,78701452
2026-04-29,248.24,249.32,247.09,247.28,55862017
2026-04-30,245.15,249.07,244.63,248.16,77831064
2026-05-01,248.55,249.92,242.72,245.99,93291530
2026-05-04,246.95,247.47,241.08,242.22,49479145
2026-05-05,241.34,241.59,234.6,237.34,73524471
2026-05-06,237.98,244.93,237.14,242.96,36699501
2026-05-07,243.11,244.38,238.42,240.33,69592785
2026-05-08,241.22,241.96,238.9,239.04,46010753
2026-05-11,239.46,239.75,235.02,236.18,39786125
2026-05-12,235.93,237.52,235.27,236.6,26555212
2026-05-13,236.66,237.08,235.37,235.67,33806606
2026-05-14,235.73,242.11,235.17,240.31,70092597
2026-05-15,241.13,244.86,241.03,243.28,63026731
2026-05-18,243.12,244.54,239.58,241.18,40439308
2026-05-19,240.67,241.65,239.23,240.81,43246196
2026-05-20,240.42,241.32,237.68,238.17,48995068
2026-05-21,237.55,244.18,237.25,243.25,70789465
2026-05-22,244.74,246.5,238.56,241.42,46569202
2026-05-25,241.22,244.27,236.4,236.64,41599826
2026-05-26,236.94,237.35,234.31,236.82,69126084
2026-05-27,236.52,236.89,230.69,232.1,92523828
2026-05-28,231.84,232.68,226.93,227.69,57833916
2026-05-29,226.82,227.47,222.8,225.99,103065020
2026-06-01,226.16,228.07,221.8,222.8,51172384
2026-06-02,223.57,230.06,222.45,229.76,42870113
2026-06-03,229.42,233.47,228.68,231.75,48465721
2026-06-04,231.38,234.13,230.3,233.16,83782317
2026-06-05,232.5,238.33,231.54,237.63,48406540
2026-06-08,237.75,237.76,234.91,237.26,80398924
2026-06-09,237.28,238.35,232.53,235.08,78806637
2026-06-10,233.77,237.39,232.61,237.17,70500916
2026-06-11,237.68,239.82,236.03,239.54,63520838
2026-06-12,239.28,246.2,237.49,243.09,47173568
2026-06-15,242.83,248.63,242.03,245.7,59503650
2026-06-16,245.72,250.22,245.59,248.56,113071061
2026-06-17,249.47,254.44,247.84,253.58,60232913
2026-06-18,253.41,255.22,246.42,248.0,57996688
2026-06-19,248.33,251.86,245.05,250.63,62605020
2026-06-22,250.51,254.44,249.11,252.28,73913379
2026-06-23,251.87,255.95,251.52,254.66,42703288
2026-06-24,254.86,257.84,251.47,252.46,107508713
2026-06-25,251.35,257.07,250.56,256.15,59799793
2026-06-26,256.85,260.75,253.06,254.49,32585651
2026-06-29,254.72,258.84,248.8,249.49,85723207
2026-06-30,248.97,249.78,242.18,243.43,63766674
2026-07-01,243.99,245.38,241.42,242.64,36300835
2026-07-02,243.53,246.59,242.62,244.8,67474976
2026-07-03,243.76,245.29,237.11,238.45,41767720
2026-07-06,238.21,241.04,237.98,239.6,39541078
2026-07-07,241.28,241.29,239.45,240.48,107811142
2026-07-08,239.01,242.14,238.2,241.43,39270452
2026-07-09,242.42,243.33,240.25,241.12,65549191
2026-07-10,242.31,244.82,241.47,243.75,24559149
