# SYNTHETIC DATA generated by scripts/make_sample_data.py (seed 20260912). Not real market prices.
Date,Open,High,Low,Close,Volume
2025-07-21,178.75,180.16,177.92,178.72,105082632
2025-07-22,178.66,181.9,178.13,180.69,52873505
2025-07-23,180.24,182.21,179.49,181.53,49020049
2025-07-24,181.84,182.27,174.82,175.28,50048028
2025-07-25,175.86,175.88,167.1,167.7,59633017
2025-07-28,167.78,168.01,165.63,166.08,50626820
2025-07-29,165.72,168.66,164.94,168.48,59546802
2025-07-30,168.1,173.2,167.77,172.16,37556062
2025-07-31,172.32,176.96,170.39,175.81,29599965
2025-08-01,176.34,177.42,171.57,172.33,54792587
2025-08-04,172.46,181.09,172.46,180.85,45432637
2025-08-05,181.72,186.42,180.05,186.19,52130851
2025-08-06,187.57,190.82,185.74,190.21,32688610
2025-08-07,191.04,196.06,189.76,194.48,51757612
2025-08-08,193.29,200.63,192.2,200.49,33573223
2025-08-11,200.18,200.22,191.3,191.65,48250607
2025-08-12,191.8,193.79,191.52,192.7,49680118
2025-08-13,192.14,193.35,189.7,190.74,38515069
2025-08-14,191.16,191.71,187.28,187.42,76597992
2025-08-15,187.09,187.26,174.67,175.4,76949146
2025-08-18,176.66,177.62,172.64,172.71,34167813
2025-08-19,172.85,172.94,170.15,171.3,30954426
2025-08-20,170.64,171.24,165.76,168.35,51437010
2025-08-21,168.48,169.83,160.79,161.26,32136022
2025-08-22,161.03,161.54,156.93,158.2,32013582
2025-08-25,157.71,158.55,153.59,153.62,39798916
2025-08-26,153.96,154.29,148.41,148.82,22291980
2025-08-27,148.55,149.81,147.3,148.84,32459441
2025-08-28,148.97,149.74,148.23,149.67,53500595
2025-08-29,149.74,152.93,149.33,152.51,46762208
2025-09-01,152.75,159.8,152.42,159.54,52088800
2025-09-02,159.58,161.27,159.29,161.17,29823674
2025-09-03,161.07,169.43,160.11,168.09,35133418
2025-09-04,168.61,169.32,164.34,165.65,57316024
2025-09-05,165.67,166.03,159.31,160.11,32818362
2025-09-08,160.83,161.82,154.27,154.7,34256192
2025-09-09,154.13,155.38,149.95,151.01,48414617
2025-09-10,150.66,154.14,150.36,152.69,60768148
2025-09-11,153.98,154.55,153.51,153.65,55814668
2025-09-12,153.55,153.89,152.63,152.84,79319477
2025-09-15,152.53,155.66,152.18,155.04,36501693
2025-09-16,154.94,163.13,154.49,161.82,43822738
2025-09-17,160.75,163.12,158.96,162.5,68303616
2025-09-18,163.18,165.25,162.98,165.21,52709777
2025-09-19,165.09,165.38,164.14,164.61,55785449
2025-09-22,164.82,166.53,163.55,165.42,53935168
2025-09-23,166.06,167.51,159.54,160.05,46368633
2025-09-24,160.21,160.94,159.35,159.54,37343989
2025-09-25,159.55,160.7,155.52,155.88,38063598
2025-09-26,155.95,157.03,155.41,156.65,36369130
2025-09-29,156.12,161.23,155.34,159.82,58027924
2025-09-30,159.76,165.3,159.2,164.43,27932407
2025-10-01,163.8,164.3,159.39,160.13,66410020
2025-10-02,160.49,162.01,153.17,154.81,49274271
2025-10-03,154.9,155.77,152.08,152.48,33902499
2025-10-06,152.8,154.69,152.19,153.61,36431383
2025-10-07,153.14,154.03,151.4,152.13,34973184
2025-10-08,151.8,152.56,145.75,146.62,35343299
2025-10-09,147.16,148.09,145.05,145.79,56485892
2025-10-10,145.37,156.47,145.0,155.97,29633332
2025-10-13,156.12,162.65,155.31,162.39,27966963
2025-10-14,161.62,162.45,156.75,157.53,31152700
2025-10-15,157.45,157.89,156.18,157.11,33692448
2025-10-16,157.01,157.7,150.72,151.31,37755220
2025-10-17,151.88,155.69,151.82,155.09,90457800
2025-10-20,154.9,155.69,153.94,154.76,48753097
2025-10-21,155.6,155.68,153.58,155.15,58266842
2025-10-22,155.73,156.15,155.05,155.09,55268718
2025-10-23,154.56,154.85,152.64,152.74,47259556
2025-10-24,152.33,153.1,149.36,149.82,68176573
2025-10-27,149.88,150.69,148.45,149.27,42630201
2025-10-28,149.01,149.41,148.2,149.01,41232906
2025-10-29,148.9,149.57,144.84,145.64,43016818
2025-10-30,145.38,145.61,140.64,141.38,74850625
2025-10-31,141.68,147.65,141.39,147.33,43117894
2025-11-03,147.64,149.02,145.71,146.64,29921883
2025-11-04,146.77,146.86,142.61,144.96,53822722
2025-11-05,144.96,148.98,144.43,147.89,22075647
2025-11-06,147.7,151.74,147.2,151.56,95524315
2025-11-07,151.95,152.23,144.51,145.05,44860408
2025-11-10,145.14,149.68,145.01,147.73,63091014
2025-11-11,147.24,148.34,139.85,141.45,47918207
2025-11-12,140.84,143.25,140.64,143.12,35850417
2025-11-13,143.08,143.45,139.94,141.91,45541230
2025-11-14,142.0,143.42,140.85,141.47,49170577
2025-11-17,141.83,142.59,140.63,140.66,34921849
2025-11-18,140.79,140.99,137.34,138.15,37871193
2025-11-19,138.19,138.45,131.1,131.19,50847857
2025-11-20,129.93,131.76,126.25,127.81,69850548
2025-11-21,128.12,128.55,118.67,120.91,61133940
2025-11-24,120.86,121.81,116.97,117.17,49125462
2025-11-25,117.24,120.71,116.96,120.29,44464397
2025-11-26,120.25,120.67,118.52,118.89,56176414
2025-11-27,118.23,122.25,117.95,121.47,35883887
2025-11-28,121.44,121.79,119.4,120.16,47368866
2025-12-01,120.25,123.25,119.68,122.03,44332884
2025-12-02,121.68,122.47,120.74,121.26,64282837
2025-12-03,121.31,123.8,120.42,123.23,38601020
2025-12-04,123.52,124.16,122.02,122.15,40406548
2025-12-05,122.04,126.87,120.77,126.4,52106075
2025-12-08,126.25,126.36,122.91,124.26,72907830
2025-12-09,124.07,124.16,119.72,120.28,73437609
2025-12-10,120.19,123.89,119.14,123.53,42718659
2025-12-11,123.4,130.29,122.64,129.69,34809743
2025-12-12,129.7,132.08,129.23,131.94,45198068
2025-12-15,131.85,132.77,128.99,129.71,58301003
2025-12-16,130.2,132.08,129.7,131.7,41277228
2025-12-17,132.21,133.72,126.11,126.86,65138160
2025-12-18,126.16,127.42,124.68,125.76,36952267
2025-12-19,126.27,126.66,123.97,124.57,88308696
2025-12-22,124.72,125.03,123.84,124.56,38922460
2025-12-23,123.42,127.37,122.22,126.67,24179594
2025-12-24,126.49,126.64,125.64,125.67,81982844
2025-12-25,125.24,130.28,124.23,129.85,39479872
2025-12-26,129.86,130.12,128.34,128.92,44998573
2025-12-29,129.3,129.93,128.8,129.63,53325495
2025-12-30,129.96,130.27,126.3,127.05,43069959
2025-12-31,126.72,128.68,125.6,128.0,61047299
2026-01-01,128.12,129.18,126.8,127.74,59413499
2026-01-02,127.24,130.92,126.94,130.79,33243468
2026-01-05,130.71,131.57,128.57,129.67,44614940
2026-01-06,129.35,134.69,129.17,133.42,41452743
2026-01-07,133.39,133.94,130.64,131.77,50025286
2026-01-08,131.86,138.92,131.79,138.72,44921653
2026-01-09,138.67,139.46,137.49,137.54,48516238
2026-01-12,137.99,142.15,137.66,140.92,40717352
2026-01-13,140.69,141.26,136.97,137.33,42303207
2026-01-14,138.08,138.94,133.16,135.2,65398186
2026-01-15,135.01,139.11,133.91,138.41,33697054
2026-01-16,138.13,138.61,135.48,136.69,80649413
2026-01-19,137.17,139.5,136.67,138.25,47115661
2026-01-20,138.05,139.17,136.89,136.94,44852186
2026-01-21,136.91,143.16,136.48,143.0,51749681
2026-01-22,143.0,143.8,140.67,141.24,45747496
2026-01-23,141.43,145.54,141.28,145.19,66777951
2026-01-26,145.05,146.85,144.68,146.59,32936413
2026-01-27,146.02,149.04,145.72,148.51,40126960
2026-01-28,149.23,151.81,148.0,150.45,46800435
2026-01-29,150.28,150.69,145.87,146.52,26053169
2026-01-30,147.25,148.24,147.06,147.9,41715181
2026-02-02,147.74,148.16,143.27,143.52,47787498
2026-02-03,142.87,146.17,142.5,146.13,28054337
2026-02-04,146.69,147.3,144.84,145.36,51113079
2026-02-05,145.22,146.4,143.2,143.32,77748308
2026-02-06,142.99,144.65,141.92,143.86,69498731
2026-02-09,144.95,147.76,144.85,147.12,41745063
2026-02-10,147.09,147.67,141.51,142.66,41333185
2026-02-11,142.09,142.79,138.57,138.89,57168421
2026-02-12,139.42,142.98,139.37,142.54,52761516
2026-02-13,142.34,145.59,140.84,143.8,31115045
2026-02-16,143.36,143.53,142.5,142.75,41574803
2026-02-17,143.29,145.01,141.29,141.48,41050507
2026-02-18,141.14,143.01,141.05,142.42,22344162
2026-02-19,142.29,143.51,141.45,142.61,43136143
2026-02-20,142.19,142.24,137.03,137.12,43810687
2026-02-23,136.34,136.39,135.37,135.7,46255300
2026-02-24,135.94,136.48,132.57,133.56,40103949
2026-02-25,133.28,133.63,129.08,129.27,50983413
2026-02-26,129.81,130.4,128.83,130.38,32769548
2026-02-27,130.66,130.93,126.22,126.36,27939583
2026-03-02,125.88,130.97,124.66,129.83,43874755
2026-03-03,130.13,136.27,128.78,135.39,46268075
2026-03-04,135.22,136.42,134.39,136.37,40927721
2026-03-05,136.52,136.78,129.83,132.41,40730759
2026-03-06,132.19,132.74,130.96,131.56,33400612
2026-03-09,131.08,132.16,128.59,129.56,47651339
2026-03-10,129.8,130.35,129.32,129.41,54125568
2026-03-11,129.18,130.21,126.43,126.89,35379257
2026-03-12,127.12,127.78,124.21,125.54,34813562
2026-03-13,125.64,130.95,124.68,130.13,46838317
2026-03-16,130.06,130.59,124.06,124.26,47168625
2026-03-17,123.9,124.32,123.63,124.02,43448646
2026-03-18,123.71,126.57,122.64,125.05,46518131
2026-03-19,125.42,126.28,123.58,124.46,32931591
2026-03-20,124.44,124.49,122.38,123.91,60324806
2026-03-23,123.96,125.66,123.31,125.22,58568919
2026-03-24,125.81,126.3,124.65,125.34,34852557
2026-03-25,124.93,125.64,122.25,122.54,54983741
2026-03-26,122.27,122.72,120.9,121.69,76400208
2026-03-27,122.21,122.29,118.81,120.4,31104276
2026-03-30,120.41,122.83,119.56,122.09,35076457
2026-03-31,121.95,123.22,120.9,121.39,40767620
2026-04-01,120.76,121.05,119.29,120.31,47395631
2026-04-02,119.74,120.0,117.72,118.74,45927617
2026-04-03,118.0,118.26,117.48,117.72,54062601
2026-04-06,117.67,120.13,116.84,120.04,34619107
2026-04-07,120.07,127.88,119.51,126.68,44746448
2026-04-08,126.47,128.72,125.87,128.71,48750624
2026-04-09,129.08,129.97,124.47,125.27,37386403
2026-04-10,125.02,129.06,124.66,127.31,47353802
2026-04-13,127.45,128.16,123.13,123.91,48307683
2026-04-14,123.9,127.32,123.88,126.97,58271018
2026-04-15,126.65,129.41,125.9,128.07,41150587
2026-04-16,128.3,128.61,126.94,127.13,42080659
2026-04-17,127.51,127.53,122.96,123.35,87752830
2026-04-20,123.21,123.26,122.01,122.05,55520523
2026-04-21,121.16,122.19,119.82,119.95,51268314
2026-04-22,120.25,120.93,117.88,117.91,54640202
2026-04-23,118.33,118.36,111.12,111.55,41277964
2026-04-24,111.15,113.8,110.97,113.5,47878143
2026-04-27,113.48,114.08,112.52,112.77,48153949
2026-04-28,112.66,115.35,112.38,114.73,36743837
2026-04-29,114.76,115.12,110.58,111.77,42639249
2026-04-30,111.74,111.9,107.69,108.82,82017710
2026-05-01,109.11,111.79,108.77,111.63,27739823
2026-05-04,111.83,112.25,109.25,110.1,39663745
2026-05-05,109.74,110.37,106.33,106.75,54512821
2026-05-06,106.42,109.09,106.28,108.45,36500692
2026-05-07,108.32,108.71,106.34,106.53,51357786
2026-05-08,106.07,106.13,105.15,105.83,52417176
2026-05-11,105.61,108.66,105.37,107.91,73641926
2026-05-12,107.36,112.03,106.37,111.4,68675781
2026-05-13,111.44,116.27,111.34,115.43,51156398
2026-05-14,115.52,120.75,115.29,120.05,50816386
2026-05-15,120.06,122.04,119.39,121.47,64779350
2026-05-18,121.24,123.01,120.5,121.8,37528138
2026-05-19,122.09,122.36,119.15,119.2,73597544
2026-05-20,119.13,120.08,116.3,116.35,43992097
2026-05-21,116.18,116.8,115.53,115.55,39354780
2026-05-22,115.97,119.68,115.67,119.14,34676329
2026-05-25,119.14,122.01,118.75,121.62,55520310
2026-05-26,121.72,128.22,120.67,126.95,48421365
2026-05-27,126.2,127.27,125.78,126.5,27534778
2026-05-28,126.47,128.18,126.35,127.56,72461627
2026-05-29,127.85,127.97,126.43,127.06,89482027
2026-06-01,126.15,130.84,125.89,130.43,37180122
2026-06-02,130.76,137.67,129.59,136.75,27369800
2026-06-03,137.08,139.96,135.45,139.11,49880003
2026-06-04,139.05,140.2,137.75,138.53,52408199
2026-06-05,138.12,147.65,138.03,146.94,59321474
2026-06-08,146.92,147.45,146.24,146.36,44954378
2026-06-09,147.53,147.65,144.81,144.83,44658226
2026-06-10,144.6,147.97,143.13,147.04,38512766
2026-06-11,147.49,147.5,139.88,140.43,47795526
2026-06-12,139.46,141.56,139.43,141.09,39893436
2026-06-15,141.3,146.73,140.02,146.54,60900753
2026-06-16,146.37,146.77,145.69,146.33,55147343
2026-06-17,146.98,147.99,140.25,141.59,26300759
2026-06-18,141.67,142.79,141.12,142.6,43483135
2026-06-19,142.78,143.41,142.66,142.83,54379296
2026-06-22,143.47,144.51,142.81,143.25,75133637
2026-06-23,143.19,144.44,142.91,144.26,35773959
2026-06-24,144.19,145.37,140.61,141.44,47502867
2026-06-25,141.44,143.13,137.5,138.06,53259807
2026-06-26,137.74,140.23,137.01,139.52,48721203
2026-06-29,139.64,140.43,138.63,139.94,38413440
2026-06-30,140.44,148.26,140.41,148.11,47705499
2026-07-01,148.51,152.01,147.99,151.75,57472512
2026-07-02,151.51,154.9,151.35,154.58,72938129
2026-07-03,154.45,154.74,152.31,152.69,31032674
2026-07-06,153.06,154.77,152.76,154.38,122724633
2026-07-07,154.29,156.41,150.11,150.56,84352905
2026-07-08,150.02,150.25,148.15,148.91,32481480
2026-07-09,148.69,149.8,147.28,147.84,52948602
2026-07-10,147.72,147.98,144.35,145.94,39480451
2026-07-13,145.64,146.47,143.63,143.78,62014360
2026-07-14,143.85,148.72,142.83,148.09,47592963
2026-07-15,147.69,151.07,146.9,150.67,49159102
2026-07-16,150.32,150.54,148.68,149.28,36697971
2026-07-17,149.62,150.18,149.2,149.22,46756579
2026-07-20,148.8,148.98,144.35,144.68,47381248
2026-07-21,144.4,144.4,141.95,142.9,64435930
2026-07-22,142.94,149.82,142.42,148.58,20356118
2026-07-23,147.98,155.26,147.81,154.98,38128876
2026-07-24,154.59,156.49,154.3,156.08,42047637
2026-07-27,156.23,157.53,149.26,149.46,48822390
2026-07-28,149.19,151.44,147.98,150.48,34282459
2026-07-29,149.95,150.15,148.17,149.22,41206372
2026-07-30,149.08,153.8,148.19,153.16,45316941
2026-07-31,153.55,157.37,153.23,156.41,30122692
2026-08-03,156.21,158.04,153.17,153.53,37508000
2026-08-04,154.53,154.83,148.23,148.56,48673741
2026-08-05,148.6,152.19,147.48,151.89,25567412
2026-08-06,152.54,153.16,150.43,150.7,39452859
2026-08-07,150.12,151.67,150.04,151.01,31237373
2026-08-10,151.33,154.25,151.33,154.18,49969448
2026-08-11,153.86,157.12,153.82,155.55,57034867
2026-08-12,155.59,158.13,155.29,157.94,50686361
2026-08-13,158.71,159.82,155.3,156.36,69237255
2026-08-14,156.96,159.74,156.21,159.29,47412430
2026-08-17,159.99,163.59,159.25,163.14,69342915
2026-08-18,162.61,167.65,161.95,167.65,52973612
2026-08-19,167.28,171.69,166.38,171.33,47409774
2026-08-20,171.1,173.52,163.45,164.99,34957325
2026-08-21,164.52,164.74,160.25,162.15,26583332
2026-08-24,162.22,164.27,157.78,158.23,80570058
2026-08-25,158.62,159.17,158.13,158.93,38141783
2026-08-26,159.5,161.04,154.72,155.58,54146382
2026-08-27,155.37,156.52,152.86,154.79,26339446
2026-08-28,154.36,154.48,151.02,152.8,52904287
2026-08-31,152.76,153.66,151.22,153.42,72843380
2026-09-01,153.38,154.04,151.47,152.35,35318947
2026-09-02,152.65,157.84,152.08,157.04,45555787
2026-09-03,157.35,157.66,154.7,156.74,26911056
2026-09-04,156.16,156.27,149.8,150.52,51165584
2026-09-07,150.61,151.85,150.36,151.74,43402206
2026-09-08,151.61,153.4,150.15,153.1,60070349
2026-09-09,153.35,153.95,151.56,151.66,30822514
2026-09-10,151.26,157.94,150.71,157.46,22148997
2026-09-11,158.12,158.8,157.72,158.75,46848193
