# SYNTHETIC DATA generated by scripts/make_sample_data.py (seed 20260912). Not real market prices.
Date,Open,High,Low,Close,Volume
2025-11-17,71580.55,72225.62,70681.61,71145.43,40704
2025-11-18,71321.01,72326.53,70435.1,70472.0,38531
2025-11-19,70603.04,70944.92,69943.69,70152.46,20814
2025-11-20,70098.61,70580.05,68461.86,68901.46,42922
2025-11-21,68558.35,69595.43,68009.02,68087.06,37016
2025-11-22,68183.9,68543.27,67847.81,68377.4,31984
2025-11-23,68543.83,69189.76,68139.47,69115.13,24562
2025-11-24,69140.61,69250.79,67411.07,67979.42,30543
2025-11-25,67958.96,69270.26,67826.45,69072.56,32269
2025-11-26,69308.81,69479.36,69041.01,69152.85,26847
2025-11-27,69147.6,69948.87,68783.18,69683.26,33014
2025-11-28,69492.83,70232.3,68837.46,69256.92,47228
2025-11-29,69186.75,69600.81,67003.09,67248.59,25640
2025-11-30,67394.58,67915.09,67021.65,67855.22,46650
2025-12-01,67819.74,68251.32,65815.6,66255.46,34920
2025-12-02,66125.81,66396.66,64390.74,64685.92,40445
2025-12-03,64577.97,65176.52,62720.88,62928.7,48539
2025-12-04,63064.29,64698.55,63031.2,64470.67,37413
2025-12-05,64157.08,64400.64,64014.2,64143.5,19416
2025-12-06,64102.75,64259.68,62931.46,63280.6,27069
2025-12-07,63237.86,65191.65,62688.22,64953.65,47504
2025-12-08,65000.85,65002.99,63827.02,64484.27,28822
2025-12-09,64487.05,64768.86,59573.67,59604.12,36283
2025-12-10,59759.8,60825.62,59618.9,60820.24,44219
2025-12-11,60616.0,60731.26,56492.79,56723.57,25489
2025-12-12,56624.27,58277.24,56603.34,58243.69,51373
2025-12-13,58053.11,59151.99,57629.16,59147.19,57698
2025-12-14,59096.13,59235.68,57584.89,58269.38,27875
2025-12-15,58454.21,60674.33,58180.06,60541.54,58722
2025-12-16,60629.37,60705.7,59262.59,59596.37,27672
2025-12-17,59475.96,60544.72,59202.1,60098.26,46342
2025-12-18,60192.95,61774.66,60087.46,61566.06,29409
2025-12-19,61625.1,62029.21,59379.52,59480.76,13793
2025-12-20,59566.42,59964.94,58457.26,58788.4,28145
2025-12-21,58782.64,58950.3,57385.74,57530.53,29737
2025-12-22,57521.03,57960.81,55369.13,55472.02,29906
2025-12-23,55382.9,55540.6,52477.66,52678.27,44458
2025-12-24,52734.3,53038.09,52335.07,52489.49,47891
2025-12-25,52306.99,52754.73,52126.83,52632.16,36645
2025-12-26,52422.75,52704.9,48590.56,48991.3,31802
