# SYNTHETIC DATA generated by scripts/make_sample_data.py (seed 20260912). Not real market prices.
Date,Open,High,Low,Close,Volume
2025-07-21,391.92,394.92,391.48,392.61,30604532
2025-07-22,392.95,396.49,389.6,395.63,11821269
2025-07-23,396.57,404.25,396.21,403.47,20997063
2025-07-24,402.55,402.9,399.05,399.43,24490279
2025-07-25,400.84,402.45,395.58,395.95,26069807
2025-07-28,395.29,398.98,391.24,395.52,19596852
2025-07-29,394.83,396.38,394.45,396.32,37689828
2025-07-30,395.63,396.0,390.56,392.18,22618680
2025-07-31,391.89,395.74,386.14,387.98,62381483
2025-08-01,386.59,387.2,382.28,383.33,26164262
2025-08-04,382.93,387.17,382.43,383.03,14547911
2025-08-05,385.05,386.67,375.48,376.27,17033472
2025-08-06,376.3,377.57,371.86,374.53,21096860
2025-08-07,375.72,377.94,372.01,376.95,18782620
2025-08-08,376.07,386.77,375.77,383.15,36176891
2025-08-11,384.8,385.83,383.9,385.03,18047041
2025-08-12,384.62,392.19,377.76,378.71,21710656
2025-08-13,377.6,380.36,373.55,375.69,18449376
2025-08-14,376.53,378.93,369.47,370.41,22070686
2025-08-15,369.69,373.73,368.45,370.66,19809666
2025-08-18,367.97,371.88,367.67,370.51,16782682
2025-08-19,367.89,372.62,366.73,370.01,27615065
2025-08-20,370.83,371.2,369.29,369.32,16063161
2025-08-21,370.8,370.83,367.64,368.3,34320554
2025-08-22,370.14,371.45,364.95,368.6,32135988
2025-08-25,368.21,379.24,366.37,378.41,26229464
2025-08-26,379.13,383.48,374.78,376.48,41727039
2025-08-27,374.5,378.21,372.74,376.36,22065152
2025-08-28,375.62,375.74,367.97,369.76,11349285
2025-08-29,368.6,373.74,367.81,372.23,24313241
2025-09-01,373.36,375.92,370.66,373.53,27368489
2025-09-02,373.12,375.49,372.79,375.3,16407217
2025-09-03,376.38,376.6,367.36,372.56,25938047
2025-09-04,374.93,376.34,370.08,370.84,25934801
2025-09-05,369.41,375.64,368.97,375.04,18309488
2025-09-08,374.92,378.09,373.22,376.71,19046170
2025-09-09,375.46,378.59,366.72,370.36,22572341
2025-09-10,369.38,370.73,366.47,368.18,22961656
2025-09-11,368.07,369.66,361.49,363.36,10335824
2025-09-12,365.53,366.16,361.18,364.5,29636402
2025-09-15,363.31,363.66,356.42,358.5,23588659
2025-09-16,359.85,364.03,358.56,363.88,32292959
2025-09-17,363.07,367.5,361.58,365.89,19767096
2025-09-18,366.84,367.34,361.28,366.25,27846394
2025-09-19,364.91,368.67,364.7,364.78,20196747
2025-09-22,364.41,375.35,361.48,375.01,17136112
2025-09-23,375.81,382.48,372.51,379.49,34562707
2025-09-24,378.09,378.57,376.31,377.07,23208870
2025-09-25,376.4,383.21,374.58,377.96,29836790
2025-09-26,380.97,387.46,380.55,386.4,40026578
2025-09-29,386.83,388.57,378.19,383.81,24794780
2025-09-30,385.04,392.96,384.81,390.73,18802097
2025-10-01,391.4,399.63,390.68,393.53,26045448
2025-10-02,391.48,393.67,386.31,388.1,28143534
2025-10-03,387.62,391.56,386.82,389.74,24766658
2025-10-06,390.28,391.82,382.78,383.23,24981799
2025-10-07,383.56,390.67,381.41,390.49,18237899
2025-10-08,390.29,396.31,384.65,394.97,14304959
2025-10-09,396.82,401.75,395.1,397.41,19553806
2025-10-10,398.15,401.42,394.02,399.8,20876530
2025-10-13,400.56,436.84,398.92,435.96,33034042
2025-10-14,435.39,436.16,395.63,397.63,19644235
2025-10-15,394.64,398.2,388.67,396.39,24384389
2025-10-16,395.79,398.82,394.44,395.16,24518612
2025-10-17,395.36,402.05,391.34,400.51,15584391
2025-10-20,400.44,400.47,394.97,395.46,24527151
2025-10-21,393.45,394.36,386.9,389.43,27521121
2025-10-22,389.27,390.2,387.49,388.86,23909636
2025-10-23,387.64,393.59,386.29,389.2,12194815
2025-10-24,389.14,392.77,377.84,379.81,26379040
2025-10-27,377.97,380.68,375.88,377.57,20239882
2025-10-28,378.53,379.05,376.66,377.34,28612174
2025-10-29,376.8,377.03,369.38,372.23,34768530
2025-10-30,372.11,373.14,370.01,371.81,44185085
2025-10-31,373.76,374.31,366.46,367.95,25083868
2025-11-03,368.24,374.44,366.3,370.43,19013714
2025-11-04,371.26,373.12,355.27,360.02,21189974
2025-11-05,359.23,361.48,354.54,354.85,21602947
2025-11-06,355.68,360.2,349.93,351.61,16645458
2025-11-07,350.57,350.94,349.32,349.97,25180211
2025-11-10,349.37,351.66,340.71,342.79,20197316
2025-11-11,342.18,348.47,341.87,342.71,25539827
2025-11-12,342.37,342.84,336.46,336.97,31298689
2025-11-13,338.12,339.26,336.12,337.68,26789745
2025-11-14,338.34,338.94,333.42,335.72,19671126
2025-11-17,336.0,337.12,329.87,330.16,40226820
2025-11-18,329.56,331.92,326.84,327.6,28115165
2025-11-19,326.61,332.24,324.06,331.03,26013190
2025-11-20,330.98,331.13,326.74,327.95,40600198
2025-11-21,327.11,336.69,324.61,333.54,15051303
2025-11-24,334.32,335.49,334.1,335.38,15203598
2025-11-25,335.93,338.25,334.49,336.26,19119362
2025-11-26,336.39,342.98,334.31,341.98,31439749
2025-11-27,342.93,345.96,341.15,345.55,27560946
2025-11-28,345.42,351.77,343.78,350.28,19474910
2025-12-01,350.66,355.37,345.89,347.34,32850359
2025-12-02,347.98,349.08,345.4,348.96,43601128
2025-12-03,348.71,356.53,345.28,355.88,16228150
2025-12-04,355.31,356.55,354.88,354.94,25789595
2025-12-05,355.47,360.14,353.34,359.15,34482397
2025-12-08,360.86,361.93,360.13,360.59,27637058
2025-12-09,361.02,364.07,360.24,362.76,17827240
2025-12-10,362.83,365.04,361.15,364.89,17343729
2025-12-11,365.45,368.68,356.81,359.1,21437786
2025-12-12,358.07,360.66,356.45,359.75,26042397
2025-12-15,359.31,363.02,357.0,362.68,14698931
2025-12-16,360.75,368.59,357.73,368.41,12791985
2025-12-17,367.72,367.92,362.21,365.79,24313707
2025-12-18,365.42,370.44,364.48,369.96,23096767
2025-12-19,371.11,381.17,369.82,376.66,16377399
2025-12-22,375.86,383.78,374.06,380.86,18859273
2025-12-23,380.63,386.12,378.45,383.96,25218010
2025-12-24,384.89,386.92,377.56,380.91,19875130
2025-12-25,378.27,380.84,370.78,373.22,14921676
2025-12-26,374.81,375.59,360.84,364.65,18622569
2025-12-29,363.07,364.42,361.65,362.68,24465397
2025-12-30,362.75,368.66,360.97,366.12,17582705
2025-12-31,364.77,367.53,362.66,365.33,22505331
2026-01-01,365.75,374.66,365.72,369.99,16978159
2026-01-02,371.67,373.65,370.1,373.4,21869473
2026-01-05,375.91,378.89,373.7,376.77,34621197
2026-01-06,378.18,381.27,376.53,376.82,21762063
2026-01-07,376.66,386.1,374.2,385.16,29236425
2026-01-08,385.24,385.74,381.4,383.83,40439060
2026-01-09,382.23,388.91,380.7,385.01,17687080
2026-01-12,384.64,392.39,382.43,390.82,20080096
2026-01-13,391.74,397.18,373.76,376.45,25407866
2026-01-14,377.15,379.08,374.24,376.98,20758636
2026-01-15,377.35,380.34,371.82,374.02,18012997
2026-01-16,373.82,374.17,372.5,373.23,20123103
2026-01-19,371.3,376.36,368.89,369.55,13890406
2026-01-20,369.36,371.1,366.13,367.36,23487492
2026-01-21,367.18,368.0,361.7,362.16,22277215
2026-01-22,361.04,369.28,358.98,368.78,30472038
2026-01-23,370.82,375.28,369.7,370.25,38094100
2026-01-26,370.91,373.55,366.35,366.83,19523488
2026-01-27,366.98,369.35,359.26,359.85,24054032
2026-01-28,359.0,361.31,355.59,356.27,15768255
2026-01-29,355.28,358.29,355.17,356.6,17140234
2026-01-30,357.33,360.35,354.23,356.14,21994760
2026-02-02,355.17,356.75,351.8,352.71,35420683
2026-02-03,351.32,353.86,345.66,346.91,25738742
2026-02-04,349.32,350.65,337.15,338.74,23608741
2026-02-05,338.43,338.73,331.37,334.12,17939742
2026-02-06,333.27,334.96,330.17,332.37,20797701
2026-02-09,333.01,333.86,330.05,332.86,28942473
2026-02-10,332.81,333.66,328.96,331.04,22743442
2026-02-11,329.53,331.89,325.48,327.42,18681261
2026-02-12,327.79,329.61,322.24,326.42,17716546
2026-02-13,327.56,328.4,325.5,326.56,11488047
2026-02-16,326.46,328.79,325.15,328.55,25789055
2026-02-17,330.36,331.5,327.46,328.82,18174887
2026-02-18,327.84,329.11,321.77,325.49,15561699
2026-02-19,326.15,331.07,324.55,328.23,20196443
2026-02-20,328.89,330.13,324.69,326.95,17532047
2026-02-23,327.85,331.28,325.18,330.57,13333346
2026-02-24,330.91,331.36,328.88,330.41,36549510
2026-02-25,331.02,333.11,327.51,327.87,30940147
2026-02-26,328.11,330.07,327.53,329.45,32539262
2026-02-27,329.26,337.47,329.02,335.8,19538361
2026-03-02,336.92,345.64,332.93,340.84,41411430
2026-03-03,341.13,348.21,337.76,346.04,26690362
2026-03-04,345.1,346.76,342.45,345.5,20524527
2026-03-05,345.66,347.52,339.49,339.69,18127672
2026-03-06,339.18,343.16,332.62,337.81,25361852
2026-03-09,336.44,346.8,335.25,344.54,25286392
2026-03-10,344.77,350.24,342.6,348.06,20440352
2026-03-11,348.06,348.13,345.5,348.12,30218333
2026-03-12,347.51,348.26,342.69,343.64,21701652
2026-03-13,344.38,346.03,344.08,345.44,12757330
2026-03-16,345.18,346.08,340.54,342.3,8741738
2026-03-17,342.03,344.84,340.41,342.56,28049078
2026-03-18,341.61,344.67,340.59,340.97,26381624
2026-03-19,340.33,346.46,340.15,345.89,35605773
2026-03-20,344.36,350.11,343.19,347.62,24079402
2026-03-23,348.12,354.15,348.08,350.4,28403326
2026-03-24,351.45,353.54,344.95,349.02,19646392
2026-03-25,350.33,352.23,348.25,350.87,21024558
2026-03-26,350.74,351.56,348.01,349.53,29994251
2026-03-27,346.92,348.44,336.43,340.08,15491782
2026-03-30,341.43,343.1,338.65,340.84,23390879
