# SYNTHETIC DATA generated by scripts/make_sample_data.py (seed 20260912). Not real market prices.
Date,Open,High,Low,Close,Volume
2025-07-21,207.46,208.34,205.43,207.46,69988247
2025-07-22,207.74,211.63,205.65,210.62,87762021
2025-07-23,209.41,212.33,208.55,211.2,60886232
2025-07-24,211.02,211.31,210.36,210.88,116664657
2025-07-25,211.58,211.7,200.92,201.66,146004683
2025-07-28,201.38,203.97,200.87,202.45,91026965
2025-07-29,203.06,203.88,202.34,203.03,65032665
2025-07-30,203.06,203.56,198.72,198.78,112574307
2025-07-31,199.04,201.96,196.87,201.19,62930484
2025-08-01,200.83,213.35,199.86,211.62,49686131
2025-08-04,211.59,222.57,210.28,222.17,113526266
2025-08-05,222.95,234.48,222.9,233.17,74584282
2025-08-06,232.84,233.76,230.75,232.29,97726361
2025-08-07,232.42,240.4,232.36,239.21,53518932
2025-08-08,238.62,241.98,236.99,240.04,68928566
2025-08-11,240.19,241.27,232.28,233.17,88209270
2025-08-12,233.11,233.27,227.6,227.84,90277810
2025-08-13,226.41,232.92,225.79,231.63,122863206
2025-08-14,230.46,240.36,227.59,238.32,77387986
2025-08-15,237.56,239.77,232.32,234.23,70134637
2025-08-18,233.81,234.69,228.38,229.29,104250424
2025-08-19,229.38,230.7,227.32,227.81,73690213
2025-08-20,228.04,230.66,227.72,229.72,101706943
2025-08-21,228.18,228.65,213.71,214.43,101063590
2025-08-22,213.83,216.05,213.71,215.28,79831303
2025-08-25,215.28,216.94,210.67,210.81,138963898
2025-08-26,210.95,211.57,210.47,211.18,146988842
2025-08-27,210.97,211.56,199.63,199.67,133818456
2025-08-28,199.12,203.34,197.71,202.97,78508604
2025-08-29,202.33,208.77,201.26,207.42,84523737
2025-09-01,208.53,208.87,205.31,205.72,81169593
2025-09-02,206.07,210.93,205.38,210.01,77801211
2025-09-03,210.55,211.57,206.12,206.32,134402337
2025-09-04,206.55,208.47,201.74,202.36,93652209
2025-09-05,202.29,202.58,196.62,197.52,127925786
2025-09-08,196.21,196.61,194.26,196.4,60437657
2025-09-09,196.03,199.09,196.0,198.3,89111249
2025-09-10,198.65,207.32,198.47,207.18,74119398
2025-09-11,207.75,219.76,207.71,218.45,67558611
2025-09-12,217.62,232.06,215.24,230.31,110765073
2025-09-15,229.53,230.33,228.33,230.18,76543628
2025-09-16,231.0,231.0,220.31,221.26,78217661
2025-09-17,221.13,231.58,219.96,229.84,162592494
2025-09-18,229.96,233.36,229.91,231.31,77131130
2025-09-19,232.53,248.96,231.4,247.42,82330308
2025-09-22,248.02,248.22,245.36,245.82,63374712
2025-09-23,245.91,247.58,245.42,247.45,46648090
2025-09-24,248.19,255.02,246.94,251.66,109857472
2025-09-25,251.2,265.18,250.87,264.35,81742592
2025-09-26,264.31,265.18,259.09,259.27,51807253
2025-09-29,258.39,274.03,258.0,272.93,63465435
2025-09-30,272.36,273.65,272.02,272.96,119437752
2025-10-01,273.34,274.49,262.59,265.12,99721957
2025-10-02,263.32,263.96,255.3,256.96,106426719
2025-10-03,256.56,257.17,243.61,244.65,117093029
2025-10-06,243.6,244.37,241.3,241.68,55682240
2025-10-07,241.85,243.36,225.76,226.92,114331785
2025-10-08,227.13,228.88,216.88,218.19,67946939
2025-10-09,219.21,222.69,219.08,221.48,159529884
2025-10-10,220.39,235.21,220.14,234.83,66066525
2025-10-13,234.45,249.27,233.71,248.91,114119971
2025-10-14,249.83,250.97,247.4,249.71,66560175
2025-10-15,249.69,257.97,248.38,257.34,99425715
2025-10-16,255.59,257.16,253.88,256.41,83185126
2025-10-17,257.08,257.1,255.65,257.06,80128063
2025-10-20,256.46,256.54,247.5,248.49,103755724
2025-10-21,247.09,250.11,242.75,249.58,126851119
2025-10-22,250.34,251.5,243.44,244.33,91551470
2025-10-23,245.79,247.1,239.25,239.41,80790486
2025-10-24,240.19,241.0,233.74,233.91,112424799
2025-10-27,233.51,239.94,233.4,239.25,90592183
2025-10-28,239.45,247.4,238.1,246.59,66198426
2025-10-29,246.52,251.51,245.63,250.97,77421713
2025-10-30,249.63,257.45,249.3,257.17,131808820
2025-10-31,255.7,257.88,245.71,247.12,98306759
2025-11-03,247.04,247.6,241.89,244.48,77710844
2025-11-04,243.36,244.28,231.21,232.45,97228307
2025-11-05,231.88,232.61,230.78,232.29,82276322
2025-11-06,231.9,231.96,228.0,228.66,71513005
